Choice,Composite,Type,InstCode,Institute,BranchCode,Branch,PwDseat,Reach,Note
132,79.9,NIT,219,"National Institute of Technology, Jamshedpur",4111,Electrical Engineering,Y,Good,
133,79.75,NIT,211,"National Institute of Technology Karnataka, Surathkal",4109,Civil Engineering,Y,Reach,
134,79.75,NIT,207,National Institute of Technology Delhi,4110,Computer Science and Engineering,Y,Out,
135,79.7,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4125,Mechanical Engineering,Y,SAFE,
136,79.5,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4107,Chemical Engineering,Y,SAFE,
137,79.5,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",413Y,Chemical Technology (Bioprocess Technology),Y,No-data,
138,79.25,NIT,228,"National Institute of Technology, Warangal",4127,Metallurgical and Materials Engineering,Y,Borderline,
139,79.25,NIT,228,"National Institute of Technology, Warangal",5243,Metallurgical and Materials Engineering,-,Out,
140,79.25,IIIT,321,Indian Institute of Information Technology (IIIT) Pune,4188,Artificial Intelligence and Data Science,Y,No-data,
141,79.15,NIT,224,"National Institute of Technology, Silchar",4111,Electrical Engineering,Y,Good,
142,79.05,GFTI,422,"Punjab Engineering College, Chandigarh",411H,Electronics Engineering (VLSI Design and Technology),Y,No-data,
143,79.0,NIT,223,"National Institute of Technology, Rourkela",4109,Civil Engineering,Y,Borderline,
144,79.0,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",521Q,B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems,Y,SAFE,
145,79.0,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4114,Electronics and Communication Engineering,Y,Good,
146,79.0,NIT,216,National Institute of Technology Raipur,4110,Computer Science and Engineering,Y,Out,
147,78.95,NIT,208,National Institute of Technology Durgapur,4125,Mechanical Engineering,Y,SAFE,
148,78.85,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",410B,Industrial Chemistry,Y,SAFE,
149,78.75,NIT,202,Malaviya National Institute of Technology Jaipur,4107,Chemical Engineering,Y,SAFE,
150,78.5,NIT,226,"National Institute of Technology, Tiruchirappalli",4127,Metallurgical and Materials Engineering,Y,Reach,
151,78.5,IIIT,308,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",4185,Artificial Intelligence,Y,SAFE,
