Choice,Type,InstCode,Institute,BranchCode,Branch,PwDseat,HisQuota,Reach,OBC-PwD_close,Gen-PwD_close
103,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4114,Electronics and Communication Engineering,Y,OS,Out,184,365
104,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4111,Electrical Engineering,Y,OS,Reach,361,630
105,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4125,Mechanical Engineering,Y,OS,Borderline,403,854
106,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4107,Chemical Engineering,Y,OS,Good,750,899
107,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4109,Civil Engineering,Y,OS,Reach,,736
108,NIT,204,Motilal Nehru National Institute of Technology Allahabad,412H,Materials Engineering,Y,OS,No-data,,
109,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4192,Engineering and Computational Mechanics,Y,OS,Out,,
110,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4104,Bio Technology,Y,OS,SAFE,731,2420
111,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4110,Computer Science and Engineering,Y,OS,Out,175,163
112,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4185,Artificial Intelligence,Y,OS,Out,183,430
113,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",5B06,Artificial Intelligence,Y,OS,Out,,473
114,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4124,Mathematics and Computing,Y,OS,Reach,306,
115,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4114,Electronics and Communication Engineering,Y,OS,Borderline,439,668
116,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",410V,Electronics and VLSI Engineering,Y,OS,Borderline,,1105
117,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4111,Electrical Engineering,Y,OS,Good,611,1287
118,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4125,Mechanical Engineering,Y,OS,SAFE,814,1278
119,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",410B,Industrial Chemistry,Y,OS,SAFE,1113,3431
