Rank,Type,Institute,Branch,Avg General-GN close,2023,2024,2025
118,NIT,National Institute of Technology Raipur,Information Technology,15865,14763,16070,16763
119,NIT,"National Institute of Technology, Rourkela",Mechanical Engineering,15993,17907,15037,15035
120,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Electronics and VLSI Engineering,16034,,16600,15467
121,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Integrated B. Tech.(IT) and MBA,16045,15598,16856,15680
122,NIT,National Institute of Technology Hamirpur,Mathematics and Computing,16068,15463,16502,16238
123,NIT,"National Institute of Technology, Kurukshetra",Electrical Engineering,16528,,15897,17159
124,NIT,National Institute of Technology Patna,Artificial Intelligence and Data Science,16537,,,16537
125,NIT,National Institute of Technology Patna,Computer Science and Engineering with Specialization in Cyber Security,16845,16359,16444,17732
126,NIT,"National Institute of Technology, Kurukshetra",Industrial Internet of Things,17168,17041,16603,17859
127,NIT,National Institute of Technology Calicut,Engineering Physics,17204,18337,16218,17056
128,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and VLSI Engineering,17266,17582,16973,17244
129,NIT,"National Institute of Technology, Kurukshetra",Electrical Engineering,17421,17918,17104,17242
130,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,17446,17777,17195,17366
131,NIT,National Institute of Technology Delhi,Electrical Engineering,17700,20642,16739,15718
132,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Computer Science and Engineering,17714,16401,18030,18711
133,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",Information Technology,17727,16809,16840,19531
134,NIT,National Institute of Technology Goa,Electronics and Communication Engineering,17919,19148,16935,17673
135,NIT,"National Institute of Technology, Andhra Pradesh",Computer Science and Engineering,18001,17272,18548,18183
136,NIT,"National Institute of Technology, Silchar",Electronics and Communication Engineering,18007,18613,17339,18068
137,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Computer Science and Engineering,18236,16986,18654,19069
138,NIT,"National Institute of Technology, Uttarakhand",Computer Science and Engineering,18326,18447,18039,18491
139,NIT,National Institute of Technology Hamirpur,Electronics and Communication Engineering,18439,18163,18421,18733
140,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Computer Science and Engineering with Major in Artificial Intelligence,18474,17188,18702,19533
141,NIT,National Institute of Technology Puducherry,Computer Science and Engineering,18526,17305,18515,19758
