Rank,Type,Institute,Branch,Avg General-GN close,2023,2024,2025
548,GFTI,Sant Longowal Institute of Engineering and Technology,Computer Science and Engineering,71482,,,71482
549,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",Electronics and Communication Engineering,71731,69686,69923,75585
550,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",B.Tech. (Food Engineering and Technology) - MBA,72557,,,72557
551,GFTI,"Gurukula Kangri Vishwavidyalaya, Haridwar",Computer Science and Engineering,72560,66702,72273,78706
552,GFTI,"Puducherry Technological University, Puducherry",Mechanical Engineering,72610,69971,69273,78585
553,GFTI,"Birla Institute of Technology, Patna Off-Campus",Mechanical Engineering,72666,74413,68874,74710
554,GFTI,"Birla Institute of Technology, Deoghar Off-Campus",Mechanical Engineering,72874,76428,68851,73343
555,GFTI,"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",Civil Engineering,72881,63664,71301,83677
556,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",B.Tech. (Electronics and Communication Engineering) - MBA,72944,,,72944
557,GFTI,"Gati Shakti Vishwavidyalaya, Vadodara",B.Tech in Electrical Engineering ( Rail  Engineering),72946,,69506,76385
558,GFTI,"National Institute of Electronics and Information Technology, Gorakhpur (UP)",B. Tech in Electronics and Communication Engineering with minor in Wearable Electronics,72993,,,72993
559,GFTI,Central University of Jammu,Computer Science and Engineering,73050,69036,69094,81019
560,GFTI,"Central institute of Technology Kokrajar, Assam",Instrumentation Engineering,73183,65488,75537,78524
561,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",Robotics and AI,74007,,,74007
562,GFTI,CU Jharkhand,Computer Science and Engineering,74114,,,74114
563,GFTI,"Mizoram University, Aizawl",Information Technology,74810,71387,71045,81999
564,GFTI,Central University of Jammu,Computer Science and Engineering with specialization in Cyber Security,75791,70400,73171,83802
565,GFTI,"North-Eastern Hill University, Shillong",Information Technology,76145,68340,74395,85700
566,GFTI,"Gati Shakti Vishwavidyalaya, Vadodara",B.Tech in Mechanical Engineering ( Rail  Engineering),76419,,74076,78762
567,GFTI,"Birla Institute of Technology, Patna Off-Campus",Civil Engineering,76637,77153,73960,78797
568,GFTI,"Rajiv Gandhi National Aviation University, Fursatganj, Amethi (UP)",Electronics and Communication Engineering (Avionics),76802,,,76802
569,GFTI,Sant Longowal Institute of Engineering and Technology,Electrical Engineering,77189,70225,79475,81868
570,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",Electrical Engineering,77346,73276,72639,86122
571,GFTI,Central University of Haryana,Electrical Engineering,77771,75618,73646,84049
572,GFTI,Sant Longowal Institute of Engineering and Technology,Physics,77941,,85605,70277
573,GFTI,"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",Aeronautical Engineering,77992,71881,76456,85638
574,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Information Technology,78476,71089,77321,87017
575,GFTI,"Central University of Rajasthan, Rajasthan",Bio Medical Engineering,78678,76910,76993,82131
576,GFTI,Central University of Jammu,Electronics and Communication Engineering (Avionics),78680,65763,74325,95952
577,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",B.Tech. (Mechanical Engineering) - MBA,78838,,,78838
578,GFTI,"National Institute of Advanced Manufacturing Technology, Ranchi",Metallurgy and Materials Engineering,79157,80719,76992,79761
579,GFTI,CU Jharkhand,Integrated B. Tech. - M. Tech in Computer Science & Engineering,79221,,79221,
580,GFTI,"Assam University, Silchar",Agricultural Engineering,79555,76770,73418,88476
581,GFTI,"Mizoram University, Aizawl",Electronics and Communication Engineering,81105,77715,79337,86262
582,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Electronics and Communication Engineering,81193,76503,79290,87787
583,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",Electronics and Communication Engineering,81654,81108,75947,87906
584,GFTI,"Puducherry Technological University, Puducherry",Civil Engineering,81737,77669,78491,89050
585,GFTI,"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",Electronics and Communication Engineering,81819,79917,78073,87468
586,GFTI,"National Institute of Advanced Manufacturing Technology, Ranchi",Production and Industrial Engineering,81850,82221,77460,85868
587,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Artificial Intelligence and Data Science,81910,,,81910
588,GFTI,"North-Eastern Hill University, Shillong",Electronics and Communication Engineering,82954,79789,79951,89121
589,GFTI,"Gurukula Kangri Vishwavidyalaya, Haridwar",Electrical Engineering,83117,84778,78861,85712
590,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",B.Tech. (Elctrical Engineering) - MBA,83701,,,83701
591,GFTI,Central University of Jammu,Electronics and Communication Engineering,84500,82819,78192,92490
592,GFTI,"Gurukula Kangri Vishwavidyalaya, Haridwar",Electronics and Communication Engineering,84508,77868,82972,92685
593,GFTI,CU Jharkhand,Electrical Engineering,85150,,,85150
594,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",Electrical Engineering,85525,80425,81774,94375
595,GFTI,"Mizoram University, Aizawl",Electrical Engineering,85640,82713,84299,89909
596,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",Bio Technology,85900,,88532,83268
597,GFTI,Sant Longowal Institute of Engineering and Technology,Mathematics,85902,,90733,81072
598,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",Mechanical Engineering,85996,85322,81609,91057
599,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",B.Tech. (Civil Engineering) - MBA,87713,,,87713
600,GFTI,"Central institute of Technology Kokrajar, Assam",Food Engineering  and Technology,87875,91379,80446,91799
601,GFTI,"Gati Shakti Vishwavidyalaya, Vadodara",B.Tech in Civil Engineering (Rail Engineering),88002,,86943,89062
602,GFTI,"North-Eastern Hill University, Shillong",Energy Engineering,89708,89431,86765,92928
603,GFTI,Central University of Haryana,Civil Engineering,89863,77202,88343,104045
604,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",Mechanical Engineering,90382,86773,89898,94474
605,GFTI,Sant Longowal Institute of Engineering and Technology,Electrical Engineering,90963,,,90963
606,GFTI,CU Jharkhand,Civil Engineering,91069,,,91069
607,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",Bachelor of Design,91632,,90552,92713
608,GFTI,Central University of Jammu,Mathematics and Computing,91635,,,91635
609,GFTI,Sant Longowal Institute of Engineering and Technology,Chemical Engineering,92240,81037,92779,102905
610,GFTI,Sant Longowal Institute of Engineering and Technology,Civil Engineering,92270,,81582,102957
611,GFTI,CU Jharkhand,Integrated B. Tech. - M. Tech in Electrical Engineering,92728,,92728,
612,GFTI,Sant Longowal Institute of Engineering and Technology,Instrumentation and Control Engineering,92813,85431,89448,103559
613,GFTI,"North-Eastern Hill University, Shillong",Biomedical Engineering,92873,84066,94373,100180
614,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Electrical Engineering,93844,,90411,97276
615,GFTI,Sant Longowal Institute of Engineering and Technology,Mechanical Engineering,94237,88700,94248,99763
616,GFTI,Sant Longowal Institute of Engineering and Technology,Chemistry,94950,,98731,91170
617,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Animation and VFX,95386,,,95386
618,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",Civil Engineering,95561,88098,96085,102500
619,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",Civil Engineering,95872,87115,96305,104195
620,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Chemical Engineering,96627,81167,98991,109723
621,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Mechanical Engineering,96651,89493,96985,103475
622,GFTI,Central University of Haryana,Printing and Packaging Technology,96768,89689,96179,104435
623,GFTI,"Mizoram University, Aizawl",Civil Engineering,97719,86514,97624,109020
624,GFTI,"Gurukula Kangri Vishwavidyalaya, Haridwar",Mechanical Engineering,97972,90475,97236,106206
625,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Civil Engineering,99003,85821,100745,110442
626,GFTI,"National Institute of Food Technology Entrepreneurship and Management, Thanjavur",Food Technology,100147,100380,95412,104649
627,GFTI,"North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh",Agricultural Engineering,101780,,,101780
628,GFTI,"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)",Civil Engineering,101822,,97484,106159
629,GFTI,Sant Longowal Institute of Engineering and Technology,Mechanical Engineering,102094,,,102094
630,GFTI,CU Jharkhand,Metallurgical and Materials Engineering,105884,,,105884
631,GFTI,"Indian Institute of Handloom Technology(IIHT), Varanasi",Handloom and Textile Technology,106042,99633,102843,115651
632,GFTI,"Indian Institute of Handloom Technology, Salem",Handloom and Textile Technology,106441,101502,105409,112411
633,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Industrial and Production Engineering,108943,98262,110158,118408
634,GFTI,"Indian Institute of Carpet Technology, Bhadohi",Carpet  and Textile Technology,110109,100912,108746,120668
635,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",Food Engineering  and Technology,110189,99992,109043,121531
636,GFTI,Sant Longowal Institute of Engineering and Technology,Food Technology,110531,99798,110525,121270
637,GFTI,"National Institute of Food Technology Entrepreneurship and Management, Kundli",Food Technology and Management,110765,105781,106292,120222
638,GFTI,CU Jharkhand,Integrated B. Tech. - M. Tech in Civil Engineering,110858,,110858,
639,GFTI,"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",Fashion and Apparel Engineering,111179,102490,108526,122521
640,GFTI,CU Jharkhand,Integrated B. Tech.- M. Tech in Metallurgical & Materials Engineering,111567,,111567,
641,GFTI,"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",Dairy Engineering,112203,101252,110311,125047
642,GFTI,"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",Food Engineering  and Technology,114323,103941,113756,125271
