Rank,Type,Institute,Branch,Avg Gen-PwD close,Avg OBC-PwD close
190,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electrical Engineering,1166,
191,IIIT,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",Computer Science and Engineering,1170,1211
192,NIT,Maulana Azad National Institute of Technology Bhopal,Electrical Engineering,1182,609
193,NIT,National Institute of Technology Agartala,Production Engineering,,1183
194,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mathematics and Computing,1184,
195,IIIT,Indian Institute of Information Technology Tiruchirappalli,Electronics and Communication Engineering,1185,1104
196,IIIT,"Indian institute of information technology, Raichur, Karnataka",Computer Science and Engineering,1190,641
197,NIT,National Institute of Technology Durgapur,Electrical Engineering,1210,723
198,NIT,National Institute of Technology Agartala,Electronics and Communication Engineering,1212,824
199,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Electrical and Electronics Engineering,1233,761
200,NIT,Malaviya National Institute of Technology Jaipur,Chemical Engineering,1258,858
201,NIT,National Institute of Technology Arunachal Pradesh,Electrical Engineering,,1269
202,NIT,National Institute of Technology Calicut,Civil Engineering,1286,660
203,IIIT,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",Information Technology,1290,1224
204,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Electronics and Communication Engineering,1291,723
205,NIT,National Institute of Technology Puducherry,Electrical and Electronics Engineering,1292,
206,IIIT,Indian Institute of Information Technology Guwahati,Computer Science and Engineering,1293,964
207,NIT,National Institute of Technology Patna,Electrical Engineering,1293,933
208,NIT,National Institute of Technology Meghalaya,Electrical and Electronics Engineering,,1305
209,NIT,"National Institute of Technology, Mizoram",Computer Science and Engineering,1308,
210,NIT,"National Institute of Technology, Andhra Pradesh",Electrical and Electronics Engineering,1311,758
211,NIT,National Institute of Technology Arunachal Pradesh,Civil Engineering,,1312
212,IIIT,Indian Institute of Information Technology(IIIT) Kottayam,Computer Science and Engineering with specialization in Artificial Intelligence and Data Science,1328,866
213,GFTI,"International Institute of Information Technology, Bhubaneswar",Computer Science and Engineering,1343,942
214,NIT,National Institute of Technology Sikkim,Electrical and Electronics Engineering,,1344
215,NIT,"National Institute of Technology, Jamshedpur",Civil Engineering,1345,
216,NIT,National Institute of Technology Raipur,Mechanical Engineering,1363,
217,IIIT,Indian Institute of Information Technology(IIIT) Dharwad,Computer Science and Engineering,1366,1041
218,NIT,"National Institute of Technology, Manipur",Electrical Engineering,,1368
219,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",B.Tech. in Electronics and Communication Engineering and M.Tech. in Microelectronics and VLSI Systems,1371,
