Choice,Type,InstCode,Institute,BranchCode,Branch,PwDseat,Reach2025,Via,OBC-PwD_close,Gen-PwD_close
163,NIT,214,National Institute of Technology Patna,520J,Electronics and Communication Engineering with Specialization in Microelectronics and VLSI System Design,-,Good,OBC-NCL(PwD),655,
164,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4114,Electronics and Communication Engineering,Y,Out,OBC-NCL(PwD),184,365
165,NIT,214,National Institute of Technology Patna,4114,Electronics and Communication Engineering,Y,Good,OBC-NCL(PwD),751,1227
166,NIT,214,National Institute of Technology Patna,411H,Electronics Engineering (VLSI Design and Technology),Y,SAFE,OBC-NCL(PwD),1212,1812
167,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4111,Electrical Engineering,Y,Reach,OBC-NCL(PwD),361,630
168,NIT,214,National Institute of Technology Patna,4111,Electrical Engineering,Y,SAFE,OBC-NCL(PwD),1264,1801
169,NIT,214,National Institute of Technology Patna,520K,Electrical Engineering with Specialization In Power System Engineering,-,SAFE,OBC-NCL(PwD),1013,1783
170,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4125,Mechanical Engineering,Y,Good,OBC-NCL(PwD),514,854
171,NIT,214,National Institute of Technology Patna,4125,Mechanical Engineering,Y,SAFE,OBC-NCL(PwD),1395,2490
172,NIT,214,National Institute of Technology Patna,520L,Mechanical Engineering with Specialization in Manufacturing and Industrial Engineering,-,Good,General PwD,,1563
173,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4107,Chemical Engineering,Y,Good,OBC-NCL(PwD),750,899
174,NIT,214,National Institute of Technology Patna,521R,Chemical Technology,-,SAFE,OBC-NCL(PwD),1443,3410
175,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4109,Civil Engineering,Y,SAFE,OBC-NCL(PwD),1059,884
176,NIT,214,National Institute of Technology Patna,4109,Civil Engineering,Y,SAFE,OBC-NCL(PwD),1466,2517
177,NIT,214,National Institute of Technology Patna,520M,Civil Engineering with Specialization in Construction Technology and Management,-,Out,General,,
178,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4192,Engineering and Computational Mechanics,Y,Out,General PwD,,545
179,NIT,204,Motilal Nehru National Institute of Technology Allahabad,412H,Materials Engineering,Y,No-data,,,
180,NIT,214,National Institute of Technology Patna,520N,Material Science and Engineering,-,Out,General,,
181,NIT,214,National Institute of Technology Patna,411B,Mechatronics and Automation Engineering,-,Out,General,,
182,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4104,Bio Technology,Y,SAFE,General PwD,731,2420
183,NIT,214,National Institute of Technology Patna,5101,Architecture,Y,Out,OBC-NCL,,
184,NIT,208,National Institute of Technology Durgapur,4110,Computer Science and Engineering,Y,Out,OBC-NCL(PwD),175,406
185,NIT,220,"National Institute of Technology, Kurukshetra",4110,Computer Science and Engineering,Y,Reach,OBC-NCL(PwD),301,93
186,NIT,220,"National Institute of Technology, Kurukshetra",5216,Computer Science and Engineering,Y,Out,General PwD,,594
187,NIT,220,"National Institute of Technology, Kurukshetra",4188,Artificial Intelligence and Data Science,Y,Good,OBC-NCL(PwD),606,
188,NIT,220,"National Institute of Technology, Kurukshetra",410P,Artificial Intelligence and Machine Learning,Y,Good,OBC-NCL(PwD),606,321
189,NIT,208,National Institute of Technology Durgapur,411F,B.Tech in Mathematics and Computing,Y,Borderline,OBC-NCL(PwD),430,1027
190,NIT,220,"National Institute of Technology, Kurukshetra",4124,Mathematics and Computing,Y,Good,General PwD,269,1670
191,NIT,208,National Institute of Technology Durgapur,4114,Electronics and Communication Engineering,Y,Good,OBC-NCL(PwD),528,613
192,NIT,220,"National Institute of Technology, Kurukshetra",4114,Electronics and Communication Engineering,Y,SAFE,OBC-NCL(PwD),871,931
193,NIT,220,"National Institute of Technology, Kurukshetra",5234,Electronics and Communication Engineering,Y,Good,General PwD,,1530
194,NIT,220,"National Institute of Technology, Kurukshetra",412B,Microelectronics & VLSI Engineering,Y,SAFE,General PwD,,3034
195,NIT,208,National Institute of Technology Durgapur,4111,Electrical Engineering,Y,Good,OBC-NCL(PwD),675,1478
196,NIT,220,"National Institute of Technology, Kurukshetra",4111,Electrical Engineering,Y,Good,OBC-NCL(PwD),547,588
197,NIT,220,"National Institute of Technology, Kurukshetra",5217,Electrical Engineering,Y,Out,General PwD,,373
198,NIT,220,"National Institute of Technology, Kurukshetra",4146,Information Technology,Y,SAFE,OBC-NCL(PwD),871,494
199,NIT,208,National Institute of Technology Durgapur,4125,Mechanical Engineering,Y,SAFE,OBC-NCL(PwD),1385,1964
200,NIT,220,"National Institute of Technology, Kurukshetra",4125,Mechanical Engineering,Y,SAFE,General PwD,865,3634
201,NIT,220,"National Institute of Technology, Kurukshetra",5233,Mechanical Engineering,Y,SAFE,General PwD,,1990
202,NIT,208,National Institute of Technology Durgapur,4107,Chemical Engineering,Y,SAFE,OBC-NCL(PwD),936,1949
203,NIT,208,National Institute of Technology Durgapur,5257,Chemical Engineering,-,Out,OBC-NCL,,
204,NIT,208,National Institute of Technology Durgapur,4109,Civil Engineering,Y,SAFE,OBC-NCL(PwD),1009,1238
205,NIT,220,"National Institute of Technology, Kurukshetra",4109,Civil Engineering,Y,SAFE,OBC-NCL(PwD),1108,924
206,NIT,220,"National Institute of Technology, Kurukshetra",5213,Civil Engineering,Y,Out,General,,
207,NIT,208,National Institute of Technology Durgapur,4127,Metallurgical and Materials Engineering,Y,SAFE,General PwD,1194,3246
208,NIT,220,"National Institute of Technology, Kurukshetra",4136,Production and Industrial Engineering,Y,SAFE,General PwD,,2564
209,NIT,208,National Institute of Technology Durgapur,4104,Bio Technology,Y,SAFE,OBC-NCL(PwD),1286,2040
210,NIT,208,National Institute of Technology Durgapur,5296,Biotechnology,-,Out,OBC-NCL,,
211,NIT,208,National Institute of Technology Durgapur,5503,Chemistry,-,Out,OBC-NCL,,
212,NIT,220,"National Institute of Technology, Kurukshetra",5101,Architecture,Y,Out,General PwD,,184
213,NIT,220,"National Institute of Technology, Kurukshetra",411C,Industrial Internet of Things,Y,Good,OBC-NCL(PwD),655,1520
214,NIT,220,"National Institute of Technology, Kurukshetra",412A,ROBOTICS & AUTOMATION,Y,Reach,OBC-NCL(PwD),366,720
215,NIT,220,"National Institute of Technology, Kurukshetra",412D,SUSTAINABLE ENERGY TECHNOLOGIES,Y,SAFE,General PwD,,1884
216,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4110,Computer Science and Engineering,Y,Reach,General PwD,,795
217,NIT,202,Malaviya National Institute of Technology Jaipur,4110,Computer Science and Engineering,Y,Out,OBC-NCL(PwD),199,396
218,NIT,202,Malaviya National Institute of Technology Jaipur,411G,Artificial Intelligence and Data Engineering,-,Out,OBC-NCL,,
219,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4124,Mathematics and Computing,Y,No-data,,,
220,NIT,202,Malaviya National Institute of Technology Jaipur,4124,Mathematics and Computing,Y,No-data,,,
221,NIT,202,Malaviya National Institute of Technology Jaipur,4114,Electronics and Communication Engineering,Y,Good,OBC-NCL(PwD),571,
222,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4153,Electronics and Telecommunication Engineering,Y,Good,OBC-NCL(PwD),685,1221
223,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4111,Electrical Engineering,Y,SAFE,General PwD,,2208
224,NIT,202,Malaviya National Institute of Technology Jaipur,4111,Electrical Engineering,Y,Good,OBC-NCL(PwD),507,1057
225,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4146,Information Technology,Y,SAFE,OBC-NCL(PwD),915,911
226,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4125,Mechanical Engineering,Y,SAFE,General PwD,1483,3780
227,NIT,202,Malaviya National Institute of Technology Jaipur,4125,Mechanical Engineering,Y,Good,OBC-NCL(PwD),659,1308
228,NIT,202,Malaviya National Institute of Technology Jaipur,4107,Chemical Engineering,Y,SAFE,OBC-NCL(PwD),1051,1686
229,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4109,Civil Engineering,Y,SAFE,General PwD,,2945
230,NIT,202,Malaviya National Institute of Technology Jaipur,4109,Civil Engineering,Y,Reach,General PwD,,832
231,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4156,Metallurgy and Materials Engineering,Y,SAFE,General PwD,,3875
232,NIT,202,Malaviya National Institute of Technology Jaipur,4127,Metallurgical and Materials Engineering,Y,SAFE,General PwD,,2483
233,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4101,Aerospace Engineering,Y,Good,OBC-NCL(PwD),519,649
