Priority,Type,Institute,BranchCode,Branch,Composite,Reach,Note
211,IIIT,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",4114,Electronics and Communication Engineering,74.5,SAFE,
212,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4110,Computer Science and Engineering,74.5,Out,
213,IIIT,Indian Institute of Information Technology Tiruchirappalli,412F,Computer Science and Engineering ( Artificial Intelligence & Data Science),74.05,Reach,
214,NIT,Motilal Nehru National Institute of Technology Allahabad,4192,Engineering and Computational Mechanics,74.0,Out,
215,NIT,Motilal Nehru National Institute of Technology Allahabad,412H,Materials Engineering,74.0,No-data,
216,NIT,National Institute of Technology Durgapur,4109,Civil Engineering,73.75,SAFE,
217,NIT,National Institute of Technology Delhi,4114,Electronics and Communication Engineering,73.75,Out,
218,NIT,"National Institute of Technology, Andhra Pradesh",4110,Computer Science and Engineering,73.75,Out,
219,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4125,Mechanical Engineering,73.7,SAFE,
220,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4130,Mining Engineering,73.5,Out,
221,NIT,"National Institute of Technology, Warangal",5503,Chemistry,73.25,Good,
222,NIT,"National Institute of Technology, Warangal",5508,Mathematics,73.25,Good,
223,NIT,"National Institute of Technology, Warangal",5507,Physics,73.25,Out,
224,IIIT,Indian Institute of Information Technology(IIIT) Kottayam,411F,B.Tech in Mathematics and Computing,73.2,No-data,
225,NIT,"National Institute of Technology, Rourkela",4152,Bio Medical Engineering,73.0,Out,
226,NIT,"National Institute of Technology, Rourkela",4104,Bio Technology,73.0,Good,
227,NIT,Maulana Azad National Institute of Technology Bhopal,4109,Civil Engineering,73.0,Good,
228,NIT,National Institute of Technology Raipur,4114,Electronics and Communication Engineering,73.0,Reach,
229,NIT,National Institute of Technology Hamirpur,4110,Computer Science and Engineering,73.0,Out,
230,NIT,National Institute of Technology Hamirpur,5216,Computer Science and Engineering,73.0,Reach,
231,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4101,Aerospace Engineering,72.5,Good,
232,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",5501,Applied Geology,72.5,No-data,
233,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4156,Metallurgy and Materials Engineering,72.5,SAFE,
234,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4185,Artificial Intelligence,72.5,No-data,
235,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4187,Data Science and Engineering,72.5,Reach,
236,NIT,National Institute of Technology Calicut,4104,Bio Technology,72.25,Reach,
237,NIT,"National Institute of Technology, Kurukshetra",4109,Civil Engineering,72.25,SAFE,
238,NIT,"National Institute of Technology, Kurukshetra",5213,Civil Engineering,72.25,Out,
239,GFTI,"Birla Institute of Technology, Mesra, Ranchi",4114,Electronics and Communication Engineering,72.25,SAFE,
240,NIT,National Institute of Technology Puducherry,4110,Computer Science and Engineering,72.25,Out,
241,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",5A11,B.Tech in Mechanical Engineering and M.Tech in AI and Robotics,72.2,SAFE,
242,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4125,Mechanical Engineering,72.2,Good,
243,NIT,National Institute of Technology Durgapur,4127,Metallurgical and Materials Engineering,71.75,SAFE,
244,NIT,National Institute of Technology Delhi,4111,Electrical Engineering,71.75,Borderline,
245,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4124,Mathematics and Computing,71.7,Reach,
246,NIT,"National Institute of Technology, Jamshedpur",4109,Civil Engineering,71.5,Reach,
247,IIIT,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",4114,Electronics and Communication Engineering,71.5,SAFE,
248,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",4110,Computer Science and Engineering,71.5,Good,
249,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",5216,Computer Science and Engineering,71.5,Good,
250,GFTI,"Punjab Engineering College, Chandigarh",4125,Mechanical Engineering,71.45,No-data,
251,NIT,"National Institute of Technology, Rourkela",5503,Chemistry,71.0,Out,
252,NIT,"National Institute of Technology, Rourkela",4117,Engineering Physics,71.0,No-data,
253,NIT,Maulana Azad National Institute of Technology Bhopal,4180,Materials and Metallurgical Engineering,71.0,No-data,
254,NIT,Maulana Azad National Institute of Technology Bhopal,4501,Planning,71.0,Out,
255,NIT,National Institute of Technology Raipur,4111,Electrical Engineering,71.0,Borderline,
256,NIT,"National Institute of Technology, Silchar",4109,Civil Engineering,70.75,SAFE,
257,IIIT,Indian Institute of Information Technology(IIIT) Dharwad,4114,Electronics and Communication Engineering,70.75,SAFE,
258,IIIT,Indian Institute of Information Technology Guwahati,4110,Computer Science and Engineering,70.75,SAFE,
259,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4130,Mining Engineering,70.5,Out,
260,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4146,Information Technology,70.5,Reach,
261,IIIT,Indian Institute of Information Technology Tiruchirappalli,413G,Electronics and Communication Engineering (VLSI Design),70.45,Borderline,
262,NIT,National Institute of Technology Calicut,5A09,B. Tech. (Mathematics & Computing) M. Tech. in (Mathematics & Computing),70.25,No-data,
