Priority,Tier,Type,Institute,BranchCode,Branch,Reach
140,GOOD,GFTI,University of Hyderabad,5314,Computer Science and Engineering,No-data
141,GOOD,IIIT,Indian Institute of Information Technology (IIIT) Pune,4188,Artificial Intelligence and Data Science,No-data
142,GOOD,IIIT,Indian Institute of Information Technology Lucknow,4146,Information Technology,Out
143,GOOD,NIT,National Institute of Technology Durgapur,4125,Mechanical Engineering,SAFE
144,GOOD,NIT,Motilal Nehru National Institute of Technology Allahabad,4107,Chemical Engineering,Good
145,GOOD,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4109,Civil Engineering,SAFE
146,GOOD,NIT,"National Institute of Technology, Warangal",4127,Metallurgical and Materials Engineering,Borderline
147,GOOD,NIT,"National Institute of Technology, Warangal",5243,Metallurgical and Materials Engineering,Out
148,GOOD,NIT,"National Institute of Technology Karnataka, Surathkal",4130,Mining Engineering,Out
149,GOOD,GFTI,"Punjab Engineering College, Chandigarh",4110,Computer Science and Engineering,No-data
150,GOOD,IIIT,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",411G,Artificial Intelligence and Data Engineering,SAFE
151,GOOD,NIT,Maulana Azad National Institute of Technology Bhopal,4125,Mechanical Engineering,SAFE
152,GOOD,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",521Q,B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems,SAFE
153,GOOD,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4114,Electronics and Communication Engineering,Good
154,GOOD,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4107,Chemical Engineering,SAFE
155,GOOD,NIT,Malaviya National Institute of Technology Jaipur,4109,Civil Engineering,Reach
156,GOOD,NIT,National Institute of Technology Calicut,4198,Energy Engineering,Good
157,GOOD,NIT,National Institute of Technology Calicut,4123,Materials Science and Engineering,Good
158,GOOD,NIT,"National Institute of Technology, Rourkela",4130,Mining Engineering,Out
159,GOOD,NIT,"National Institute of Technology, Rourkela",5247,Mining Engineering,Out
160,GOOD,NIT,"National Institute of Technology, Kurukshetra",4125,Mechanical Engineering,SAFE
161,GOOD,NIT,"National Institute of Technology, Kurukshetra",5233,Mechanical Engineering,SAFE
162,GOOD,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,4144,Electrical and Electronics Engineering,Good
163,GOOD,GFTI,"Punjab Engineering College, Chandigarh",4603,Computer Science Engineering (Artificial Intelligence),No-data
164,GOOD,GFTI,"Punjab Engineering College, Chandigarh",4604,Computer Science Engineering (Data Science),No-data
165,GOOD,NIT,Motilal Nehru National Institute of Technology Allahabad,4109,Civil Engineering,Reach
166,GOOD,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4127,Metallurgical and Materials Engineering,SAFE
167,GOOD,IIIT,Indian Institute of Information Technology (IIIT) Pune,413X,Microelectronics and VLSI Design,No-data
168,GOOD,NIT,"National Institute of Technology, Jamshedpur",4125,Mechanical Engineering,SAFE
169,GOOD,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,4114,Electronics and Communication Engineering,SAFE
170,GOOD,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,410H,Electronics and Communication Engineering (Internet of Things),SAFE
171,GOOD,NIT,National Institute of Technology Durgapur,4107,Chemical Engineering,SAFE
172,GOOD,NIT,National Institute of Technology Durgapur,5257,Chemical Engineering,Out
173,GOOD,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4109,Civil Engineering,Good
174,GOOD,NIT,Malaviya National Institute of Technology Jaipur,4127,Metallurgical and Materials Engineering,Good
175,GOOD,NIT,"National Institute of Technology, Rourkela",4152,Bio Medical Engineering,Out
176,GOOD,NIT,"National Institute of Technology, Rourkela",4104,Bio Technology,Good
177,GOOD,NIT,"National Institute of Technology, Kurukshetra",411C,Industrial Internet of Things,Good
178,GOOD,NIT,"National Institute of Technology, Kurukshetra",4136,Production and Industrial Engineering,SAFE
179,GOOD,GFTI,"Punjab Engineering College, Chandigarh",4124,Mathematics and Computing,No-data
180,GOOD,NIT,"National Institute of Technology, Silchar",4125,Mechanical Engineering,SAFE
181,GOOD,IIIT,Indian Institute of Information Technology (IIIT) Pune,4114,Electronics and Communication Engineering,Good
182,GOOD,NIT,Maulana Azad National Institute of Technology Bhopal,4107,Chemical Engineering,SAFE
183,GOOD,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4109,Civil Engineering,SAFE
184,GOOD,NIT,Motilal Nehru National Institute of Technology Allahabad,4192,Engineering and Computational Mechanics,Out
185,GOOD,NIT,Motilal Nehru National Institute of Technology Allahabad,412H,Materials Engineering,No-data
186,GOOD,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4130,Mining Engineering,Out
187,GOOD,NIT,"National Institute of Technology, Warangal",4104,Bio Technology,Reach
188,GOOD,NIT,"National Institute of Technology, Jamshedpur",4136,Production and Industrial Engineering,SAFE
